this	1_052_V_fcw_01.mp3	こちらは，これ

is	1_052_V_fcw_02.mp3	〔he, she, itなどとともに〕〜です

my	1_052_V_fcw_03.mp3	私の

new	1_052_V_fcw_04.mp3	新しい

friend	1_052_V_fcw_05.mp3	友達

she	1_052_V_fcw_06.mp3	彼女は/が

classmate	1_052_V_fcw_07.mp3	同級生，クラスメート

he	1_052_V_fcw_08.mp3	彼は/が

at	1_052_V_fcw_09.mp3	〜の点で

she's	1_052_V_fcw_10.mp3	she is

he's	1_052_V_fcw_11.mp3	he is

am/are/is good at ~	1_052_V_fcw_12.mp3	〜が得意である

Are you?	1_052_V_fcw_13.mp3	そうなの？

Seema	1_052_V_fcw_14.mp3	シーマ〔名〕

India	1_052_V_fcw_15.mp3	インド〔国名〕

that	1_054_V_fcw_01.mp3	あれ

Mt.	1_054_V_fcw_02.mp3	（〜）山

it	1_054_V_fcw_03.mp3	それは/が

view	1_054_V_fcw_04.mp3	眺め

here	1_054_V_fcw_05.mp3	ここ

wonderful	1_054_V_fcw_06.mp3	すばらしい

building	1_054_V_fcw_07.mp3	建物

temple	1_054_V_fcw_08.mp3	寺，寺院

arena	1_054_V_fcw_09.mp3	競技場，アリーナ

isn't	1_054_V_fcw_10.mp3	is not

it's	1_054_V_fcw_11.mp3	it is

rice	1_056_V_fcw_01.mp3	米，ごはん

cracker	1_056_V_fcw_02.mp3	クラッカー

try	1_056_V_fcw_03.mp3	（〜を）試す

one	1_056_V_fcw_04.mp3	〔前に出た名詞の代わりに使って〕もの

welcome	1_056_V_fcw_05.mp3	歓迎される

delicious	1_056_V_fcw_06.mp3	とてもおいしい

what's	1_056_V_fcw_07.mp3	what is

you're	1_056_V_fcw_08.mp3	you are 

Try one.	1_056_V_fcw_09.mp3	試してみて。

You're welcome.	1_056_V_fcw_10.mp3	どういたしまして。

of	1_060_V_fcw_01.mp3	〜の

week	1_060_V_fcw_02.mp3	週

Monday	1_060_V_fcw_03.mp3	月曜日

Tuesday	1_060_V_fcw_04.mp3	火曜日

Wednesday	1_060_V_fcw_05.mp3	水曜日

Thursday	1_060_V_fcw_06.mp3	木曜日

Friday	1_060_V_fcw_07.mp3	金曜日

Saturday	1_060_V_fcw_08.mp3	土曜日

Sunday	1_060_V_fcw_09.mp3	日曜日

today	1_060_V_fcw_10.mp3	今日は

study	1_060_V_fcw_11.mp3	（〜を）勉強する

math	1_061_V_fcw_01.mp3	数学

homework	1_061_V_fcw_02.mp3	宿題

clean	1_061_V_fcw_03.mp3	（〜を）掃除する

room	1_061_V_fcw_04.mp3	部屋

help	1_061_V_fcw_05.mp3	（〜を）手伝う

father	1_061_V_fcw_06.mp3	父親，お父さん

mother	1_061_V_fcw_07.mp3	母親，お母さん

go	1_061_V_fcw_08.mp3	行く

shopping	1_061_V_fcw_09.mp3	買い物

video	1_061_V_fcw_10.mp3	ビデオ

go shopping	1_061_V_fcw_11.mp3	買い物に行く

video game(s)	1_061_V_fcw_12.mp3	テレビゲーム

