dream	2_088_V_fcw_01.mp3	夢

chef	2_088_V_fcw_02.mp3	コック長

weekend	2_088_V_fcw_03.mp3	週末

especially	2_088_V_fcw_04.mp3	特に

overseas	2_088_V_fcw_05.mp3	海外へ/で，外国へ/で

everybody	2_088_V_fcw_06.mp3	だれでも，みんな

best	2_088_V_fcw_07.mp3	最上

in the future	2_088_V_fcw_08.mp3	将来（に）

all over the world	2_088_V_fcw_09.mp3	世界中で

do one's best	2_088_V_fcw_10.mp3	最善をつくす

become	2_089_V_fcw_01.mp3	（〜に）なる

sick	2_089_V_fcw_02.mp3	病気の

nurse	2_089_V_fcw_03.mp3	看護師

told	2_089_V_fcw_04.mp3	tellの過去形

difficult	2_089_V_fcw_05.mp3	難しい

true	2_090_V_fcw_01.mp3	本当の

doctor	2_090_V_fcw_02.mp3	医者

come true	2_090_V_fcw_03.mp3	実現する

World Cup	2_090_V_fcw_04.mp3	ワールドカップ

tough	2_091_V_fcw_01.mp3	困難な

luck	2_091_V_fcw_02.mp3	運

Good luck!	2_091_V_fcw_03.mp3	幸運を祈ります，がんばってね！

once 	2_092_V_fcw_01.mp3	かつて

upon	2_092_V_fcw_02.mp3	onと同じ意味。成句などで用いられる

mountain(s)	2_092_V_fcw_03.mp3	山

children < child	2_092_V_fcw_04.mp3	子供

board	2_092_V_fcw_05.mp3	掲示板

wrote 	2_092_V_fcw_06.mp3	writeの過去形

finally	2_092_V_fcw_07.mp3	とうとう

once upon a time	2_092_V_fcw_08.mp3	昔々

be friends with ~	2_092_V_fcw_09.mp3	〜と友達になる

come in	2_092_V_fcw_10.mp3	入る

be afraid of ~	2_092_V_fcw_11.mp3	〜を恐れる

no one ~ 	2_092_V_fcw_12.mp3	だれも〜ない

take ~ away	2_092_V_fcw_13.mp3	〜を取り除く

Red Demon	2_092_V_fcw_14.mp3	赤鬼

Blue Demon	2_092_V_fcw_15.mp3	青鬼

Open house.	2_092_V_fcw_16.mp3	自宅開放中

may	2_093_V_fcw_01.mp3	〜かもしれない

hard	2_093_V_fcw_02.mp3	難しい

worry	2_093_V_fcw_03.mp3	心配する

village	2_093_V_fcw_04.mp3	村

Don't worry.	2_093_V_fcw_05.mp3	心配しないで。

go down to ~	2_093_V_fcw_06.mp3	〜へ降りる

suddenly	2_094_V_fcw_01.mp3	突然

shout(ed)	2_094_V_fcw_02.mp3	大声で言う，叫ぶ

hurt 	2_094_V_fcw_03.mp3	(〜に)けがをさせる

cried < cry	2_094_V_fcw_04.mp3	叫ぶ

whisper(ed)	2_094_V_fcw_05.mp3	（〜と）ささやく

hit 	2_094_V_fcw_06.mp3	（〜を）打つ，ぶつ

hard	2_094_V_fcw_07.mp3	激しく，強く

hit	2_094_V_fcw_08.mp3	hitの過去形

ran	2_094_V_fcw_09.mp3	runの過去形

get out of ~ 	2_094_V_fcw_10.mp3	〜から出ていく

run away	2_094_V_fcw_11.mp3	逃げる，走り去る

thank you for ~ing	2_094_V_fcw_12.mp3	〜してくれてありがとう

few	2_095_V_fcw_01.mp3	少数の，2, 3の

found	2_095_V_fcw_02.mp3	findの過去形

scare	2_095_V_fcw_03.mp3	（〜を）怖がらせる

far	2_095_V_fcw_04.mp3	遠く

never	2_095_V_fcw_05.mp3	決して〜ない

a few	2_095_V_fcw_06.mp3	少数の

be glad (that) ~	2_095_V_fcw_07.mp3	〜ということがうれしい

far away	2_095_V_fcw_08.mp3	遠く離れて

